sample_id	threshold	total_area
030120 P9HuP6 TMA 1-B_Core[1,8,F]_[16696,50397].im3	0.1	1.436759342990604
030120 P9HuP6 TMA 1-B_Core[1,8,G]_[18855,50587].im3	0.1	1.8662818866568185
030120 P9HuP6 TMA 1-B_Core[1,8,H]_[21078,50333].im3	0.1	2.1125022729882397
030120 P9HuP6 TMA 1-B_Core[1,9,B]_[8124,52873].im3	0.1	1.3451231710911258
030120 P9HuP6 TMA 1-B_Core[1,9,C]_[10220,52937].im3	0.1	2.14997637682884
030120 P9HuP6 TMA 1-B_Core[1,9,D]_[12315,53000].im3	0.1	2.2407651053286406
030120 P9HuP6 TMA 1-B_Core[1,9,E]_[14601,52810].im3	0.1	1.4559534151935831
030120 P9HuP6 TMA 1-B_Core[1,9,F]_[16760,52746].im3	0.1	2.10654719304575
030120 P9HuP6 TMA 1-B_Core[1,9,G]_[18855,52556].im3	0.1	0.9819201165097636
030120 P9HuP6 TMA 1-B_Core[1,9,H]_[20887,52429].im3	0.1	1.338381472788117
